iter	Passed	Remaining
236	4961	15993
237	4980	15966
238	4998	15937
239	5019	15917
240	5056	15946
241	5076	15922
242	5096	15896
243	5118	15881
244	5144	15873
245	5163	15846
246	5185	15829
247	5204	15803
248	5226	15784
249	5243	15752
250	5259	15715
251	5277	15686
252	5294	15654
253	5310	15617
254	5330	15594
255	5348	15564
256	5372	15552
257	5393	15531
258	5412	15505
259	5431	15479
260	5453	15462
261	5478	15451
262	5498	15428
263	5514	15395
264	5530	15359
265	5543	15318
266	5558	15281
267	5573	15243
268	5589	15209
269	5619	15215
270	5644	15204
271	5666	15187
272	5684	15159
273	5705	15137
274	5727	15119
275	5746	15093
276	5766	15072
277	5783	15042
278	5803	15018
279	5819	14985
280	5835	14951
281	5852	14922
282	5868	14889
283	5884	14856
284	5901	14825
285	5919	14799
286	5936	14768
287	5951	14735
288	5967	14701
289	5987	14680
290	6003	14647
291	6017	14610
292	6033	14578
293	6051	14552
294	6068	14523
295	6085	14493
296	6102	14464
297	6124	14448
298	6143	14423
299	6160	14395
300	6178	14368
301	6202	14356
302	6224	14338
303	6242	14311
304	6261	14287
305	6281	14265
306	6300	14241
307	6317	14214
308	6334	14186
309	6360	14177
310	6377	14150
311	6394	14121
312	6411	14092
313	6427	14062
314	6448	14042
315	6465	14015
316	6483	13989
317	6503	13967
318	6520	13939
319	6541	13921
320	6563	13904
321	6583	13883
322	6602	13858
323	6622	13837
324	6641	13814
325	6659	13788
326	6678	13766
327	6696	13740
328	6714	13714
329	6732	13689
330	6750	13664
331	6775	13653
332	6795	13631
333	6815	13611
334	6833	13586
335	6853	13563
336	6872	13540
337	6893	13522
338	6912	13498
339	6931	13475
340	6950	13453
341	6969	13430
342	6990	13410
343	7011	13390
344	7031	13370
345	7052	13350
346	7071	13327
347	7090	13304
348	7115	13292
349	7139	13279
350	7162	13263
351	7190	13257
352	7219	13252
353	7240	13232
354	7261	13213
355	7282	13194
356	7303	13175
357	7327	13161
358	7347	13139
359	7367	13118
360	7386	13094
361	7407	13074
362	7429	13057
363	7450	13038
364	7468	13014
365	7489	12993
366	7511	12976
367	7532	12956
368	7552	12935
369	7574	12918
370	7596	12900
371	7615	12877
372	7635	12855
373	7659	12840
374	7683	12826
375	7707	12811
376	7726	12788
377	7747	12768
378	7765	12744
379	7786	12724
380	7805	12701
381	7825	12680
382	7845	12659
383	7867	12641
384	7892	12627
385	7912	12607
386	7936	12591
387	7956	12570
388	7974	12546
389	7992	12522
390	8013	12501
391	8033	12480
392	8052	12458
393	8075	12440
394	8095	12420
395	8119	12404
396	8139	12383
397	8163	12368
398	8184	12348
399	8203	12325
400	8224	12306
401	8244	12283
402	8262	12261
403	8282	12239
404	8318	12241
405	8343	12227
406	8362	12204
407	8381	12181
408	8400	12158
409	8419	12136
410	8438	12113
411	8457	12091
412	8478	12071
413	8498	12050
414	8523	12035
415	8551	12025
416	8576	12011
417	8600	11994
418	8624	11979
419	8647	11962
420	8671	11946
421	8693	11927
422	8715	11909
423	8736	11889
424	8762	11876
425	8783	11855
426	8804	11835
427	8825	11815
428	8846	11795
429	8866	11774
430	8895	11763
431	8918	11746
432	8942	11730
433	8972	11721
434	8996	11705
435	9022	11691
436	9053	11685
437	9076	11666
438	9097	11646
439	9117	11625
440	9143	11610
441	9165	11591
442	9192	11578
443	9213	11557
444	9234	11537
445	9256	11518
446	9278	11499
447	9305	11486
448	9329	11469
449	9353	11452
450	9378	11437
451	9408	11427
452	9441	11422
453	9468	11407
454	9493	11392
455	9516	11373
456	9541	11357
457	9562	11336
458	9583	11316
459	9605	11296
460	9632	11282
461	9652	11261
462	9674	11241
463	9701	11227
464	9728	11214
465	9753	11198
466	9780	11183
467	9803	11165
468	9828	11148
469	9857	11136
470	9879	11116
471	9902	11097
472	9922	11076
473	9943	11055
474	9964	11034
475	9985	11013
476	10007	10993
477	10030	10975
478	10056	10959
479	10091	10953
480	10118	10938
481	10149	10928
482	10175	10912
483	10199	10895
484	10222	10875
485	10243	10854
486	10263	10832
487	10285	10812
488	10310	10795
489	10330	10773
490	10353	10753
491	10373	10732
492	10395	10711
493	10416	10690
494	10438	10670
495	10461	10651
496	10486	10634
497	10511	10616
498	10544	10607
499	10569	10590
500	10598	10577
501	10622	10558
502	10644	10539
503	10666	10518
504	10686	10496
505	10707	10474
506	10728	10453
507	10750	10433
508	10773	10414
509	10795	10392
510	10815	10370
511	10838	10351
512	10865	10336
513	10887	10315
514	10911	10296
515	10939	10282
516	10965	10265
517	11045	10299
518	11112	10319
519	11146	10310
520	11201	10319
521	11229	10304
522	11263	10294
523	11298	10284
524	11330	10272
525	11365	10263
526	11390	10244
527	11415	10226
528	11438	10205
529	11460	10184
530	11482	10163
531	11504	10142
532	11526	10121
533	11550	10100
534	11574	10081
535	11597	10061
536	11624	10044
537	11650	10026
538	11675	10007
539	11705	9992
540	11730	9973
541	11755	9955
542	11780	9936
543	11803	9916
544	11825	9894
545	11853	9877
546	11873	9854
547	11895	9833
548	11922	9815
549	11953	9801
550	11978	9783
551	12005	9765
552	12030	9746
553	12052	9725
554	12080	9707
555	12104	9687
556	12127	9667
557	12149	9645
558	12169	9622
559	12193	9602
560	12216	9581
561	12241	9561
562	12265	9542
563	12289	9522
564	12319	9507
565	12356	9496
566	12376	9473
567	12400	9452
568	12422	9431
569	12442	9408
570	12469	9390
571	12491	9368
572	12511	9345
573	12535	9325
574	12558	9304
575	12577	9280
576	12602	9260
577	12621	9237
578	12643	9215
579	12663	9191
580	12684	9169
581	12705	9146
582	12727	9125
583	12753	9106
584	12777	9085
585	12800	9065
586	12825	9045
587	12847	9023
588	12867	9000
589	12896	8983
590	12919	8962
591	12944	8942
592	12971	8924
593	12993	8903
594	13020	8884
595	13041	8862
596	13063	8840
597	13087	8819
598	13109	8798
599	13130	8775
600	13154	8755
601	13177	8734
602	13208	8718
603	13232	8697
604	13256	8677
605	13284	8658
606	13307	8637
607	13329	8616
608	13351	8594
609	13372	8571
610	13394	8549
611	13417	8528
612	13446	8510
613	13472	8491
614	13496	8471
615	13521	8450
616	13542	8428
617	13566	8407
618	13590	8386
619	13617	8368
620	13646	8350
621	13671	8330
622	13694	8309
623	13717	8287
624	13739	8265
625	13761	8243
626	13781	8220
627	13801	8197
628	13825	8176
629	13847	8154
630	13870	8133
631	13892	8111
632	13912	8088
633	13934	8066
634	13953	8042
635	13975	8020
636	14000	8000
637	14023	7978
638	14047	7957
639	14071	7937
640	14099	7918
641	14122	7897
642	14150	7878
643	14175	7858
644	14203	7839
645	14223	7816
646	14246	7794
647	14268	7772
648	14293	7752
649	14317	7731
650	14339	7709
651	14361	7687
652	14382	7664
653	14404	7642
654	14426	7620
655	14445	7597
656	14466	7574
657	14486	7551
658	14510	7530
659	14531	7507
660	14555	7487
661	14574	7463
662	14592	7439
663	14610	7415
664	14628	7391
665	14646	7367
666	14666	7344
667	14684	7320
668	14701	7295
669	14722	7273
670	14741	7250
671	14766	7229
672	14790	7208
673	14813	7186
674	14835	7165
675	14856	7142
676	14878	7120
677	14899	7098
678	14922	7076
679	14965	7064
680	15028	7061
681	15091	7058
682	15134	7046
683	15159	7025
684	15209	7016
685	15233	6994
686	15255	6972
687	15278	6950
688	15298	6927
689	15317	6904
690	15341	6882
691	15363	6860
692	15382	6836
693	15404	6814
694	15425	6791
695	15447	6769
696	15466	6745
697	15487	6722
698	15509	6700
699	15526	6676
700	15546	6653
701	15569	6631
702	15588	6608
703	15608	6584
704	15626	6561
705	15649	6538
706	15671	6516
707	15689	6493
708	15706	6468
709	15728	6446
710	15748	6423
711	15769	6400
712	15788	6377
713	15808	6354
714	15828	6331
715	15852	6309
716	15878	6289
717	15899	6266
718	15920	6244
719	15943	6222
720	15965	6200
721	15989	6178
722	16012	6157
723	16033	6134
724	16055	6112
725	16076	6089
726	16095	6066
727	16114	6043
728	16140	6022
729	16164	6000
730	16183	5977
731	16201	5953
732	16225	5932
733	16250	5911
734	16277	5890
735	16297	5868
736	16317	5845
737	16340	5823
738	16362	5801
739	16384	5778
740	16403	5755
741	16425	5733
742	16444	5710
743	16462	5686
744	16482	5663
745	16502	5641
746	16521	5617
747	16541	5594
748	16559	5571
749	16577	5547
750	16595	5524
751	16614	5501
752	16631	5477
753	16650	5454
754	16669	5431
755	16688	5408
756	16712	5386
757	16731	5363
758	16753	5341
759	16773	5318
760	16791	5295
761	16810	5272
762	16830	5249
763	16851	5227
764	16869	5204
765	16888	5181
766	16909	5158
767	16933	5137
768	16956	5115
769	16978	5093
770	16995	5070
771	17014	5047
772	17032	5023
773	17059	5003
774	17078	4980
775	17098	4957
776	17117	4934
777	17140	4912
778	17161	4890
779	17180	4867
780	17209	4847
781	17234	4826
782	17256	4804
783	17279	4782
784	17306	4761
785	17334	4741
786	17369	4723
787	17396	4702
788	17419	4680
789	17441	4658
790	17464	4636
791	17490	4615
792	17508	4592
793	17528	4569
794	17550	4547
795	17575	4526
796	17600	4505
797	17620	4482
798	17640	4459
799	17663	4438
800	17688	4416
801	17712	4395
802	17734	4372
803	17753	4350
804	17772	4327
805	17795	4305
806	17813	4282
807	17833	4259
808	17851	4236
809	17870	4213
810	17893	4192
811	17914	4169
812	17934	4147
813	17953	4124
814	17976	4102
815	18033	4088
816	18055	4066
817	18077	4044
818	18098	4021
819	18118	3999
820	18139	3977
821	18159	3954
822	18178	3931
823	18202	3909
824	18222	3887
825	18241	3864
826	18265	3843
827	18285	3820
828	18307	3798
829	18326	3775
830	18348	3753
831	18365	3730
832	18387	3708
833	18406	3685
834	18428	3663
835	18448	3641
836	18467	3618
837	18486	3595
838	18505	3573
839	18523	3550
840	18543	3527
841	18563	3505
842	18583	3483
843	18601	3460
844	18620	3437
845	18645	3416
846	18665	3393
847	18684	3371
848	18703	3348
849	18725	3326
850	18744	3303
851	18763	3281
852	18782	3258
853	18800	3236
854	18819	3213
855	18838	3191
856	18855	3168
857	18885	3147
858	18901	3124
859	18920	3102
860	18942	3080
861	19013	3065
862	19087	3052
863	19127	3032
864	19145	3010
865	19163	2987
866	19182	2964
867	19201	2942
868	19220	2919
869	19238	2896
870	19257	2874
871	19275	2851
872	19294	2828
873	19313	2806
874	19334	2784
875	19355	2761
876	19377	2739
877	19397	2717
878	19416	2694
879	19435	2672
880	19454	2649
881	19473	2627
882	19490	2604
883	19514	2582
884	19532	2560
885	19552	2537
886	19573	2515
887	19591	2493
888	19609	2470
889	19629	2448
890	19647	2425
891	19664	2403
892	19683	2380
893	19705	2358
894	19728	2336
895	19746	2314
896	19763	2291
897	19782	2269
898	19801	2246
899	19819	2224
900	19838	2201
901	19857	2179
902	19876	2157
903	19894	2134
904	19917	2112
905	19941	2090
906	19958	2068
907	19976	2046
908	19993	2023
909	20011	2001
910	20031	1978
911	20049	1956
912	20068	1934
913	20087	1912
914	20106	1889
915	20124	1867
916	20141	1845
917	20165	1823
918	20185	1801
919	20206	1779
920	20225	1756
921	20244	1734
922	20263	1712
923	20281	1690
924	20301	1667
925	20323	1646
926	20341	1623
927	20360	1601
928	20382	1579
929	20401	1557
930	20418	1535
931	20438	1513
932	20456	1490
933	20475	1468
934	20492	1446
935	20511	1424
936	20532	1402
937	20551	1380
938	20569	1358
939	20588	1336
940	20608	1314
941	20627	1291
942	20646	1269
943	20664	1247
944	20681	1225
945	20699	1203
946	20725	1181
947	20743	1159
948	20762	1137
949	20780	1115
950	20798	1093
951	20819	1071
952	20842	1049
953	20865	1027
954	20897	1006
955	20925	984
956	20949	963
957	20971	941
958	20994	919
959	21017	897
960	21037	875
961	21062	853
962	21080	831
963	21101	809
964	21126	788
965	21145	766
966	21169	744
967	21199	722
968	21249	701
969	21279	680
970	21309	658
971	21336	636
972	21362	614
973	21384	592
974	21408	570
975	21429	548
976	21451	526
977	21489	505
978	21512	483
979	21535	461
980	21555	439
981	21574	417
982	21597	395
983	21619	373
984	21642	351
985	21668	329
986	21690	307
987	21712	285
988	21735	263
989	21756	241
990	21776	219
991	21796	197
992	21817	175
993	21837	153
994	21858	131
995	21881	109
996	21907	87
997	21942	65
998	21965	43
999	21990	21
1000	22013	0
