iter	MAE
316	2.525812244
317	2.524715444
318	2.523350398
319	2.521901102
320	2.520837361
321	2.518941964
322	2.517108921
323	2.514909067
324	2.51322406
325	2.510995685
326	2.509392078
327	2.50754529
328	2.506001181
329	2.504424015
330	2.503633337
331	2.501605723
332	2.499649926
333	2.497363572
334	2.495378101
335	2.494056417
336	2.492337985
337	2.490986558
338	2.489217735
339	2.487642383
340	2.486463858
341	2.485148471
342	2.482828444
343	2.481044922
344	2.479619292
345	2.477136579
346	2.476266208
347	2.475242371
348	2.473891329
349	2.472258692
350	2.470870794
351	2.469337815
352	2.467853338
353	2.466159646
354	2.464089352
355	2.462651254
356	2.460675569
357	2.458274151
358	2.457188766
359	2.455362473
360	2.454548363
361	2.453123364
362	2.45161808
363	2.450532112
364	2.449171691
365	2.447883418
366	2.446317446
367	2.444894774
368	2.443453242
369	2.44225387
370	2.440999563
371	2.439937791
372	2.438374479
373	2.436819071
374	2.435284399
375	2.433667681
376	2.432690251
377	2.430595726
378	2.428498191
379	2.426999078
380	2.425445259
381	2.424024771
382	2.422817502
383	2.421474097
384	2.419970253
385	2.41842029
386	2.416904476
387	2.415794775
388	2.414394147
389	2.412984241
390	2.412018784
391	2.410293684
392	2.408423741
393	2.40656596
394	2.405165268
395	2.403430241
396	2.401872334
397	2.400590497
398	2.399408086
399	2.398109668
400	2.396476357
401	2.395091162
402	2.393936928
403	2.392814015
404	2.391047097
405	2.389570409
406	2.388298701
407	2.386886261
408	2.385440498
409	2.384059751
410	2.38275805
411	2.38166591
412	2.380499316
413	2.3789771
414	2.377475989
415	2.376297125
416	2.374800005
417	2.373726428
418	2.372982671
419	2.372092159
420	2.370621433
421	2.368846042
422	2.367649914
423	2.366276761
424	2.364592731
425	2.362681171
426	2.361382287
427	2.360382477
428	2.359287797
429	2.358132902
430	2.356647722
431	2.355454742
432	2.354121606
433	2.353263888
434	2.351871994
435	2.350819941
436	2.349776074
437	2.348427786
438	2.347111324
439	2.346079808
440	2.343956271
441	2.342855556
442	2.34182976
443	2.340716012
444	2.339436488
445	2.338032236
446	2.336774746
447	2.335144724
448	2.334241481
449	2.333361843
450	2.332184992
451	2.331189232
452	2.330032288
453	2.32904696
454	2.327893616
455	2.326691995
456	2.325384729
457	2.32420683
458	2.32260241
459	2.321582923
460	2.320443063
461	2.319299498
462	2.318134775
463	2.317456048
464	2.316506537
465	2.315185802
466	2.313705578
467	2.312808475
468	2.312050847
469	2.310720042
470	2.309872772
471	2.308612765
472	2.307714374
473	2.306260366
474	2.305141376
475	2.303974586
476	2.303437692
477	2.301453739
478	2.300258396
479	2.299402445
480	2.29850632
481	2.297691041
482	2.297022948
483	2.295789033
484	2.294950814
485	2.293810277
486	2.292581531
487	2.292083554
488	2.291181535
489	2.290146123
490	2.288970977
491	2.288175578
492	2.286725448
493	2.285300346
494	2.284498374
495	2.28337097
496	2.282008157
497	2.281329686
498	2.280414419
499	2.279811905
500	2.278882679
501	2.277209567
502	2.275534742
503	2.274917474
504	2.273957047
505	2.272318896
506	2.270826287
507	2.269982197
508	2.268676012
509	2.267761071
510	2.266909865
511	2.266249138
512	2.265023489
513	2.264425311
514	2.263502099
515	2.262786445
516	2.261829833
517	2.26003154
518	2.258701512
519	2.257536679
520	2.25636456
521	2.255506067
522	2.254220175
523	2.253548381
524	2.252451739
525	2.251452594
526	2.250603845
527	2.249403693
528	2.24857662
529	2.247266067
530	2.245937719
531	2.244998788
532	2.244398331
533	2.243659792
534	2.242522223
535	2.241377862
536	2.240577528
537	2.240127642
538	2.239148971
539	2.237893009
540	2.236835647
541	2.235874659
542	2.234973995
543	2.234041494
544	2.233311989
545	2.232424103
546	2.231987097
547	2.231417986
548	2.230215655
549	2.229502326
550	2.228194363
551	2.227231891
552	2.226462127
553	2.225376743
554	2.224085207
555	2.223050375
556	2.2222465
557	2.221159835
558	2.220127092
559	2.219069679
560	2.218323997
561	2.217458547
562	2.216368733
563	2.215746764
564	2.214074456
565	2.213237998
566	2.212251951
567	2.21075351
568	2.210128318
569	2.209382628
570	2.208010884
571	2.206706945
572	2.205851648
573	2.204962991
574	2.203795954
575	2.203289319
576	2.202279157
577	2.201218661
578	2.200260726
579	2.199457303
580	2.198533025
581	2.197509585
582	2.196670742
583	2.196113402
584	2.195129651
585	2.194166731
586	2.193443043
587	2.192319523
588	2.191503027
589	2.190311667
590	2.189484776
591	2.18806174
592	2.186995075
593	2.185540367
594	2.184582746
595	2.183709748
596	2.182929196
597	2.181869326
598	2.181424745
599	2.180515809
600	2.179824092
601	2.178926775
602	2.177562856
603	2.176650277
604	2.175271505
605	2.174433721
606	2.173574967
607	2.172346815
608	2.171333965
609	2.170930595
610	2.170282633
611	2.169986092
612	2.169255597
613	2.16827941
614	2.167806695
615	2.166740926
616	2.16597466
617	2.16469154
618	2.163777401
619	2.162712854
620	2.162003871
621	2.161069096
622	2.160311491
623	2.159442541
624	2.158561072
625	2.157707404
626	2.157169102
627	2.156547017
628	2.155471315
629	2.155074191
630	2.154427288
631	2.1537704
632	2.15311765
633	2.152146611
634	2.151466312
635	2.150691416
636	2.149934346
637	2.149432698
638	2.148609453
639	2.147763265
640	2.146914787
641	2.146235531
642	2.145506488
643	2.144912598
644	2.144102367
645	2.143420056
646	2.142876283
647	2.141745182
648	2.140036207
649	2.139254212
650	2.138556919
651	2.137088638
652	2.135953057
653	2.135041384
654	2.134231146
655	2.133212733
656	2.132348303
657	2.131559993
658	2.130114337
659	2.129619329
660	2.129067071
661	2.128431565
662	2.127746656
663	2.12668694
664	2.126036709
665	2.125467857
666	2.124562298
667	2.124094341
668	2.123323524
669	2.122655892
670	2.122211971
671	2.121672147
672	2.121145298
673	2.120511489
674	2.119772352
675	2.119149851
676	2.118512295
677	2.118084238
678	2.117494584
679	2.117006855
680	2.116341902
681	2.115694567
682	2.114709306
683	2.11418323
684	2.11358186
685	2.112762918
686	2.111781128
687	2.11118777
688	2.11038992
689	2.10989577
690	2.109385616
691	2.108582046
692	2.107880778
693	2.106926867
694	2.106406413
695	2.10573351
696	2.105174382
697	2.104441433
698	2.103774181
699	2.103244957
700	2.102638562
701	2.102133605
702	2.101459634
703	2.10075992
704	2.100268393
705	2.099752612
706	2.098985393
707	2.098149187
708	2.097624721
709	2.09694474
710	2.096183067
711	2.095440473
712	2.0948583
713	2.094322924
714	2.093112527
715	2.092116195
716	2.091228782
717	2.090275798
718	2.089654925
719	2.088686638
720	2.08820863
721	2.087811904
722	2.087155305
723	2.086146617
724	2.084669717
725	2.0838466
726	2.082669702
727	2.082123416
728	2.081178609
729	2.080420908
730	2.079623599
731	2.07884733
732	2.078061604
733	2.077505321
734	2.077038922
735	2.075930489
736	2.075350605
737	2.074700977
738	2.074308269
739	2.07356048
740	2.072623149
741	2.072035389
742	2.07121271
743	2.07027169
744	2.06978305
745	2.068953209
746	2.068186571
747	2.067242637
748	2.066822725
749	2.066371569
750	2.065571138
751	2.065082745
752	2.06393878
753	2.063154232
754	2.062347662
755	2.061789233
756	2.060869474
757	2.060417103
758	2.059871126
759	2.059231408
760	2.058544785
761	2.057955505
762	2.057153144
763	2.05634816
764	2.055647207
765	2.055103231
766	2.054446956
767	2.053658955
768	2.053052114
769	2.052715287
770	2.052321878
771	2.051686762
772	2.051229971
773	2.050768896
774	2.049859696
775	2.049053441
776	2.048535429
777	2.047842627
778	2.046509845
779	2.045783343
780	2.045193443
781	2.044687439
782	2.043751078
783	2.043022706
784	2.042196573
785	2.041852892
786	2.041295736
787	2.040645965
788	2.039850102
789	2.039196518
790	2.038760352
791	2.037824516
792	2.037231801
793	2.036580248
794	2.036207202
795	2.035629527
796	2.034549795
797	2.034220504
798	2.033579088
799	2.032909633
800	2.03201925
801	2.031542448
802	2.031167478
803	2.030368658
804	2.030043503
805	2.029666125
806	2.029238716
807	2.028663646
808	2.028019727
809	2.027162962
810	2.026675848
811	2.026092754
812	2.025498907
813	2.024901297
814	2.024216876
815	2.023633877
816	2.023047451
817	2.022609726
818	2.021993421
819	2.02131206
820	2.020535035
821	2.019836519
822	2.019317789
823	2.018749256
824	2.018059628
825	2.017672985
826	2.01698887
827	2.016064462
828	2.015727234
829	2.015269965
830	2.014704023
831	2.013870537
832	2.013289112
833	2.01254733
834	2.012066606
835	2.011409823
836	2.010948965
837	2.010344272
838	2.00952052
839	2.009110962
840	2.00865335
841	2.008089662
842	2.00761743
843	2.007041033
844	2.006478114
845	2.006044885
846	2.005555282
847	2.004991988
848	2.004751307
849	2.004214845
850	2.003576599
851	2.003086432
852	2.002319661
853	2.001966073
854	2.001580578
855	2.00114082
856	2.000690286
857	2.000440869
858	2.000011295
859	1.999542816
860	1.998823613
861	1.998446225
862	1.997650653
863	1.997200923
864	1.996613065
865	1.995923129
866	1.995156543
867	1.99447762
868	1.993989458
869	1.992658517
870	1.992052612
871	1.991455158
872	1.991007064
873	1.990587968
874	1.989630753
875	1.989079125
876	1.988535787
877	1.98791127
878	1.987246876
879	1.986573177
880	1.986057717
881	1.98558072
882	1.985208636
883	1.984258158
884	1.98379413
885	1.983068863
886	1.982342685
887	1.981606542
888	1.980901234
889	1.980221603
890	1.979917276
891	1.979576398
892	1.978333136
893	1.977649528
894	1.976857111
895	1.976256821
896	1.975771858
897	1.975042747
898	1.974740316
899	1.97409008
900	1.973574108
901	1.972701791
902	1.971772514
903	1.970957673
904	1.970097091
905	1.969622471
906	1.969073541
907	1.968024392
908	1.967488025
909	1.966745831
910	1.965987679
911	1.965431561
912	1.964943314
913	1.964263043
914	1.963483449
915	1.962897882
916	1.962189456
917	1.961544872
918	1.960633107
919	1.959932319
920	1.959165373
921	1.958668796
922	1.95800571
923	1.957494345
924	1.957129043
925	1.956496295
926	1.955948488
927	1.954995632
928	1.954172885
929	1.953378336
930	1.952578509
931	1.951928815
932	1.950832219
933	1.950036662
934	1.949600661
935	1.94918933
936	1.948568198
937	1.947929315
938	1.947509756
939	1.946761582
940	1.946214456
941	1.945180293
942	1.94438244
943	1.943752278
944	1.943346955
945	1.94267715
946	1.942216304
947	1.941476339
948	1.940624374
949	1.939763604
950	1.939072895
951	1.938498166
952	1.93784977
953	1.937465906
954	1.93667589
955	1.9359579
956	1.935185051
957	1.934830475
958	1.934222432
959	1.933769143
960	1.932627824
961	1.932222902
962	1.931526337
963	1.930761355
964	1.930163927
965	1.929341011
966	1.92866955
967	1.927886555
968	1.927513013
969	1.926984778
970	1.926765925
971	1.926227341
972	1.925992927
973	1.92529775
974	1.924750203
975	1.924125162
976	1.923723092
977	1.923325582
978	1.922714733
979	1.922326788
980	1.921940794
981	1.921021502
982	1.920584943
983	1.919918402
984	1.919136897
985	1.918280666
986	1.917705132
987	1.917198725
988	1.916549299
989	1.915652916
990	1.914938993
991	1.91439512
992	1.914030606
993	1.913664593
994	1.91336569
995	1.912828849
996	1.912396746
997	1.911803193
998	1.91114868
999	1.910618853
1000	1.91014499
